chunk_id,file_name,row_count,dialect_counts_json,sha256,status
1,chunk_0001.csv,50,"{""DIAL_EGY"": 13, ""DIAL_GLF"": 13, ""DIAL_LEV"": 12, ""MSA"": 12}",9e4a24cdcefc3ecb8ebb99ce1231159fc78ebd86ebcade6fee141e8ddbd673d8,pending
2,chunk_0002.csv,50,"{""DIAL_EGY"": 12, ""DIAL_GLF"": 12, ""DIAL_LEV"": 13, ""MSA"": 13}",b2ceed90f24fa9b69e777896e7d52060f5edc06e1ca317c3a9b738fe622d5d92,pending
3,chunk_0003.csv,50,"{""DIAL_EGY"": 13, ""DIAL_GLF"": 13, ""DIAL_LEV"": 12, ""MSA"": 12}",56a2532721737bd5bc1bc1b1a91db8179575c4f75c9d821982da6b8926ec8960,pending
4,chunk_0004.csv,50,"{""DIAL_EGY"": 12, ""DIAL_GLF"": 12, ""DIAL_LEV"": 13, ""MSA"": 13}",086d16052e4286d9e22cd978b80ebd9ede84df863982c44897e3e11de7aaf85e,pending
5,chunk_0005.csv,50,"{""DIAL_EGY"": 13, ""DIAL_GLF"": 13, ""DIAL_LEV"": 12, ""MSA"": 12}",527d32cde1f55ea2e212c7229bd6d27084d29f6aaaec9993c465ecc0d3ddd314,pending
6,chunk_0006.csv,50,"{""DIAL_EGY"": 12, ""DIAL_GLF"": 12, ""DIAL_LEV"": 13, ""MSA"": 13}",d9b7952a0f64803d02b0de8a8497707f8f00e8b71bfba3c585213bb687270e86,pending
7,chunk_0007.csv,50,"{""DIAL_EGY"": 13, ""DIAL_GLF"": 13, ""DIAL_LEV"": 12, ""MSA"": 12}",76e5415dd9f5ee6f2a84e18438dbe2b24df2d045a38f04494d3b180172abc885,pending
8,chunk_0008.csv,50,"{""DIAL_EGY"": 12, ""DIAL_GLF"": 12, ""DIAL_LEV"": 13, ""MSA"": 13}",819761c9d6760375bbde34fb3a77440dc4493fd25eb73f641a0993b44c05b34c,pending
9,chunk_0009.csv,50,"{""DIAL_EGY"": 13, ""DIAL_GLF"": 13, ""DIAL_LEV"": 12, ""MSA"": 12}",f1fe2f975aff5815174ad297f7d623dedf2827984867b005e769cecc8f6fbc16,pending
10,chunk_0010.csv,50,"{""DIAL_EGY"": 12, ""DIAL_GLF"": 12, ""DIAL_LEV"": 13, ""MSA"": 13}",7a2fcf140c3f03abeeb5aa7aba7d7cdbaaa2cd720906a5f5e502c6dbfe81bf71,pending
11,chunk_0011.csv,50,"{""DIAL_EGY"": 13, ""DIAL_GLF"": 13, ""DIAL_LEV"": 12, ""MSA"": 12}",2043e176f3a40935dd4e8074f4879b24525044978d0b15ff01d27db25960d064,pending
12,chunk_0012.csv,50,"{""DIAL_EGY"": 12, ""DIAL_GLF"": 12, ""DIAL_LEV"": 13, ""MSA"": 13}",d7557dc6d365e47fdaea8aad0bcefac72bdacd8dfcad506ea6fc0f104e12b8d2,pending
13,chunk_0013.csv,50,"{""DIAL_EGY"": 13, ""DIAL_GLF"": 13, ""DIAL_LEV"": 12, ""MSA"": 12}",bdc0c53e172673b21ba9802e7ea72c59e7af885ce3a7a8c8ef78e3cbe4f1ebb9,pending
14,chunk_0014.csv,50,"{""DIAL_EGY"": 12, ""DIAL_GLF"": 12, ""DIAL_LEV"": 13, ""MSA"": 13}",fa260dea1738fb255407938fdf9f7067150bed16ce711c92baf65e7dde6baed5,pending
15,chunk_0015.csv,50,"{""DIAL_EGY"": 13, ""DIAL_GLF"": 13, ""DIAL_LEV"": 12, ""MSA"": 12}",773dfd2d2542b81e52a65945c3756004575317b94ac4322b2331925e146d9db1,pending
16,chunk_0016.csv,50,"{""DIAL_EGY"": 12, ""DIAL_GLF"": 12, ""DIAL_LEV"": 13, ""MSA"": 13}",7ec7ee7377801660b43dbcf30b1546a9772487b836731ff28d8d0e948106fbb7,pending
17,chunk_0017.csv,50,"{""DIAL_EGY"": 13, ""DIAL_GLF"": 13, ""DIAL_LEV"": 12, ""MSA"": 12}",523ea51721d7b83bd898e1993abe41a2cd493426380a3bc6f61a16a68949ce98,pending
