example_id,source_split,source_row_id,dialect,original_text,normalized_text,masked_text,mask_spans_json,mask_count,annotation_status,annotator_model,notes
mt_dial_egy_55995e2f,train,9250,DIAL_EGY,ولازم الست الجادعة تدافع عن,ولازم الست الجادعه تدافع عن,ولازم الست الجادعة تدافع عن,[],0,approved,,
mt_dial_glf_84836249,train,25275,DIAL_GLF,والاتحاد اذا فاز بكرى . . خلاص ماراح يوقف الزحف الاتحادي الكبير وراح يكون الاتحاد إن شاء الله بطل دوري ابطال اسيا هالسنة [ 2010 ],والاتحاد اذا فاز بكري خلاص ماراح يوقف الزحف الاتحادي الكبير وراح يكون الاتحاد ان شاء الله بطل دوري ابطال اسيا هالسنه 2010,و[ORG_1] اذا فاز بكرى . . خلاص ماراح يوقف الزحف الاتحادي الكبير وراح يكون [ORG_1] إن شاء الله بطل دوري ابطال اسيا هالسنة [ [DATE_1] ],"[{""start"": 1, ""end"": 8, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الاتحاد"", ""mask_type"": ""ORG""}, {""start"": 74, ""end"": 81, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الاتحاد"", ""mask_type"": ""ORG""}, {""start"": 123, ""end"": 127, ""placeholder"": ""[DATE_1]"", ""surface_form"": ""2010"", ""mask_type"": ""DATE""}]",3,approved,,
mt_dial_lev_46d99416,train,75840,DIAL_LEV,بتحكي هالكلام و فريقك مهزوم شر هزيمة كيف لو فاز الفيصلي ! !,بتحكي هالكلام و فريقك مهزوم شر هزيمه كيف لو فاز الفيصلي,بتحكي هالكلام و فريقك مهزوم شر هزيمة كيف لو فاز [ORG_1] ! !,"[{""start"": 48, ""end"": 55, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الفيصلي"", ""mask_type"": ""ORG""}]",1,approved,,
mt_msa_6931e981,train,3374,MSA,رد على رقم ( 6 ) احمد صالح : اختلاف درجات الحرارة فى النشرةعن درجات الحرارةالتى نشعر بها لان الدرجة الموجودة فى النشرة تسجل فى الظل فتكون اقل من الحرارة الحقيقية,رد علي رقم 6 احمد صالح اختلاف درجات الحراره في النشرهعن درجات الحرارهالتي نشعر بها لان الدرجه الموجوده في النشره تسجل في الظل فتكون اقل من الحراره الحقيقيه,رد على رقم ( [NUM_1] ) [PERSON_1] : اختلاف درجات الحرارة فى النشرةعن درجات الحرارةالتى نشعر بها لان الدرجة الموجودة فى النشرة تسجل فى الظل فتكون اقل من الحرارة الحقيقية,"[{""start"": 13, ""end"": 14, ""placeholder"": ""[NUM_1]"", ""surface_form"": ""6"", ""mask_type"": ""NUM""}, {""start"": 17, ""end"": 26, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""احمد صالح"", ""mask_type"": ""PERSON""}]",2,approved,,
mt_dial_egy_d4a25847,train,3369,DIAL_EGY,المراضى موصلوش ولكن انغداء لناظرة لقريب . .,المراضي موصلوش ولكن انغداء لناظره لقريب,المراضى موصلوش ولكن انغداء لناظرة لقريب . .,[],0,approved,,
mt_dial_glf_9971c8e2,train,67126,DIAL_GLF,بعد فتوى الصلاه وانا غاسل يدي .,بعد فتوي الصلاه وانا غاسل يدي,بعد فتوى الصلاه وانا غاسل يدي .,[],0,approved,,
mt_dial_lev_5e2ed769,train,62942,DIAL_LEV,ياالله شو حاب اصير صحفي واكتب عما يجول في خاطري واتمنى حد يتبناني في التعلم,ياالله شو حاب اصير صحفي واكتب عما يجول في خاطري واتمني حد يتبناني في التعلم,ياالله شو حاب اصير صحفي واكتب عما يجول في خاطري واتمنى حد يتبناني في التعلم,[],0,approved,,
mt_msa_742bbb1c,train,2319,MSA,"قال تعالي "" قل للمؤمنين يغضوا من ابصارهم "" وقال تعالي "" وقل للمؤمنات يغضن من ابصارهن ويحفظن فروجهن ولا يبدين زينتهن الا ما ظهر منها . . . الي اخر الايه "" فادعوا كل شاب ان يتقي الله في بنات المسلمين وفي نفسه واقول لاي واحد منهم تسول له نفسه ان يتحدث الي فتاه اجنبيه عنه اترضاه لامك . . . اترضاه",قال تعالي قل للمومنين يغضوا من ابصارهم وقال تعالي وقل للمومنات يغضن من ابصارهن ويحفظن فروجهن ولا يبدين زينتهن الا ما ظهر منها الي اخر الايه فادعوا كل شاب ان يتقي الله في بنات المسلمين وفي نفسه واقول لاي واحد منهم تسول له نفسه ان يتحدث الي فتاه اجنبيه عنه اترضاه لامك اترضاه,"قال تعالي "" قل للمؤمنين يغضوا من ابصارهم "" وقال تعالي "" وقل للمؤمنات يغضن من ابصارهن ويحفظن فروجهن ولا يبدين زينتهن الا ما ظهر منها . . . الي اخر الايه "" فادعوا كل شاب ان يتقي الله في بنات المسلمين وفي نفسه واقول لاي واحد منهم تسول له نفسه ان يتحدث الي فتاه اجنبيه عنه اترضاه لامك . . . اترضاه",[],0,approved,,
mt_dial_egy_ba03bf7e,train,2097,DIAL_EGY,فعلا مش غلطة حماقى هى غلطة الشباب اللى مفيش تفاهم,فعلا مش غلطه حماقي هي غلطه الشباب اللي مفيش تفاهم,فعلا مش غلطة [PERSON_1] هى غلطة الشباب اللى مفيش تفاهم,"[{""start"": 13, ""end"": 18, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""حماقى"", ""mask_type"": ""PERSON""}]",1,approved,,
mt_dial_glf_e2260244,train,68265,DIAL_GLF,يا جماعه المرور مو مقصرين بس هالناس هذه هي همجيه ** عشان كذا الحوادث المفجعه نسال الله,يا جماعه المرور مو مقصرين بس هالناس هذه هي همجيه عشان كذا الحوادث المفجعه نسال الله,يا جماعه المرور مو مقصرين بس هالناس هذه هي همجيه ** عشان كذا الحوادث المفجعه نسال الله,[],0,approved,,
