example_id,source_split,source_row_id,dialect,original_text,normalized_text,masked_text,mask_spans_json,mask_count,annotation_status,annotator_model,notes
mt_dial_egy_61959f6c,train,73180,DIAL_EGY,انتم لستم يعمال انتم مجموعة مرتزقة,انتم لستم يعمال انتم مجموعه مرتزقه,انتم لستم يعمال انتم مجموعة مرتزقة,[],0,approved,,
mt_dial_glf_12f30e41,train,55630,DIAL_GLF,واللي ماتعامل حماتها بخوف من,واللي ماتعامل حماتها بخوف من,واللي ماتعامل حماتها بخوف من,[],0,approved,,
mt_dial_lev_c3f02df2,train,111,DIAL_LEV,معلمة اطفال تعمل هيك في اطفال هي ما آلها الا تفسير واحد المعلمه مريضه,معلمه اطفال تعمل هيك في اطفال هي ما الها الا تفسير واحد المعلمه مريضه,معلمة اطفال تعمل هيك في اطفال هي ما آلها الا تفسير واحد المعلمه مريضه,[],0,approved,,
mt_msa_6645f7ed,train,6153,MSA,مايحدث في قصة هذا البرادعي أكبر عملية تهريج فرجل في منصبه لم يستطع أن يردع أمريكا على أن تحتل العراق ولم يرف له رمش فأين الثقة في أن يتولى مسئولية بلد . . قمة,مايحدث في قصه هذا البرادعي اكبر عمليه تهريج فرجل في منصبه لم يستطع ان يردع امريكا علي ان تحتل العراق ولم يرف له رمش فاين الثقه في ان يتولي مسيوليه بلد قمه,مايحدث في قصة هذا [PERSON_1] أكبر عملية تهريج فرجل في منصبه لم يستطع أن يردع [LOC_1] على أن تحتل [LOC_2] ولم يرف له رمش فأين الثقة في أن يتولى مسئولية بلد . . قمة,"[{""start"": 18, ""end"": 26, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""البرادعي"", ""mask_type"": ""PERSON""}, {""start"": 75, ""end"": 81, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""أمريكا"", ""mask_type"": ""LOC""}, {""start"": 94, ""end"": 100, ""placeholder"": ""[LOC_2]"", ""surface_form"": ""العراق"", ""mask_type"": ""LOC""}]",3,approved,,
mt_dial_egy_8db4bb33,train,20818,DIAL_EGY,بس الكويس فى الموضوع ان المصريين لسه هايكلوا 7000 حمار تانيين اللى حديقة الحيوان اتعاقدت عليهم,بس الكويس في الموضوع ان المصريين لسه هايكلوا 7000 حمار تانيين اللي حديقه الحيوان اتعاقدت عليهم,بس الكويس فى الموضوع ان المصريين لسه هايكلوا [NUM_1] حمار تانيين اللى [ORG_1] اتعاقدت عليهم,"[{""start"": 45, ""end"": 49, ""placeholder"": ""[NUM_1]"", ""surface_form"": ""7000"", ""mask_type"": ""NUM""}, {""start"": 67, ""end"": 80, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""حديقة الحيوان"", ""mask_type"": ""ORG""}]",2,approved,,
mt_dial_glf_20587192,train,9909,DIAL_GLF,! ! طيب الحين اذا السياره بسم حرمه والسياره مع السواق ويخالف ونظام قاهر يرصد من يسدد ! !,طيب الحين اذا السياره بسم حرمه والسياره مع السواق ويخالف ونظام قاهر يرصد من يسدد,! ! طيب الحين اذا السياره بسم حرمه والسياره مع السواق ويخالف ونظام قاهر يرصد من يسدد ! !,[],0,approved,,
mt_dial_lev_c6aca19e,train,2151,DIAL_LEV,لسة في ناس بصدقوا هالحكي ؟ !,لسه في ناس بصدقوا هالحكي,لسة في ناس بصدقوا هالحكي ؟ !,[],0,approved,,
mt_msa_51a0f07b,train,75493,MSA,وإن شاء الله يفوز الإتحاد اليوم,وان شاء الله يفوز الاتحاد اليوم,وإن شاء الله يفوز [ORG_1] [DATE_1],"[{""start"": 18, ""end"": 25, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الإتحاد"", ""mask_type"": ""ORG""}, {""start"": 26, ""end"": 31, ""placeholder"": ""[DATE_1]"", ""surface_form"": ""اليوم"", ""mask_type"": ""DATE""}]",2,approved,,
mt_dial_egy_e8ae5784,train,60060,DIAL_EGY,بس حليت فى عنيهم - 99 ج مقابل عمل قد لايستغرق ساعه واحده أو لاعمل اطلاقا ! ! طب وماله نعتصم ونهيص - ماهو اللي ييجي منه احسن منه ! ! علي رأي فهلويه مصر .,بس حليت في عنيهم 99 ج مقابل عمل قد لايستغرق ساعه واحده او لاعمل اطلاقا طب وماله نعتصم ونهيص ماهو اللي ييجي منه احسن منه علي راي فهلويه مصر,بس حليت فى عنيهم - [NUM_1] ج مقابل عمل قد لايستغرق [TIME_1] واحده أو لاعمل اطلاقا ! ! طب وماله نعتصم ونهيص - ماهو اللي ييجي منه احسن منه ! ! علي رأي فهلويه [LOC_1] .,"[{""start"": 19, ""end"": 21, ""placeholder"": ""[NUM_1]"", ""surface_form"": ""99"", ""mask_type"": ""NUM""}, {""start"": 46, ""end"": 50, ""placeholder"": ""[TIME_1]"", ""surface_form"": ""ساعه"", ""mask_type"": ""TIME""}, {""start"": 147, ""end"": 150, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""مصر"", ""mask_type"": ""LOC""}]",3,approved,,
mt_dial_glf_6fc24bfd,train,63152,DIAL_GLF,ولانعرف أبد أغراب ماغير عيال,ولانعرف ابد اغراب ماغير عيال,ولانعرف أبد أغراب ماغير عيال,[],0,approved,,
