example_id,source_split,source_row_id,dialect,original_text,normalized_text,masked_text,mask_spans_json,mask_count,annotation_status,annotator_model,notes
mt_dial_egy_fe1dd2ad,train,81931,DIAL_EGY,اولا التدخل مايكنش فى وسائل الاعلام دى فضايح ، وثانيا محمود سعد كان متهاون مع مرتضى كتير ، وثالثا المفروض بمجرد ظهور المصحف حد يقوله حرام الحلفان على المصحف واخيرا ، احنا غلطانين عشان بنشارك,اولا التدخل مايكنش في وسايل الاعلام دي فضايح وثانيا محمود سعد كان متهاون مع مرتضي كتير وثالثا المفروض بمجرد ظهور المصحف حد يقوله حرام الحلفان علي المصحف واخيرا احنا غلطانين عشان بنشارك,اولا التدخل مايكنش فى وسائل الاعلام دى فضايح ، وثانيا [PERSON_1] كان متهاون مع [PERSON_2] كتير ، وثالثا المفروض بمجرد ظهور المصحف حد يقوله حرام الحلفان على المصحف واخيرا ، احنا غلطانين عشان بنشارك,"[{""start"": 54, ""end"": 63, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""محمود سعد"", ""mask_type"": ""PERSON""}, {""start"": 78, ""end"": 83, ""placeholder"": ""[PERSON_2]"", ""surface_form"": ""مرتضى"", ""mask_type"": ""PERSON""}]",2,approved,,
mt_dial_glf_941253ca,train,51909,DIAL_GLF,انا احب اهني الهلال على الصدارة,انا احب اهني الهلال علي الصداره,انا احب اهني [ORG_1] على الصدارة,"[{""start"": 13, ""end"": 19, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""الهلال"", ""mask_type"": ""ORG""}]",1,approved,,
mt_dial_lev_3a4fd72e,train,60380,DIAL_LEV,الحمد لله ع السلامة يا كابتن علاءالمطالقة والله يعطيك العافيه ما قصرت بالدوري والى الامام في المباريات,الحمد لله ع السلامه يا كابتن علاءالمطالقه والله يعطيك العافيه ما قصرت بالدوري والي الامام في المباريات,الحمد لله ع السلامة يا كابتن [PERSON_1] والله يعطيك العافيه ما قصرت بالدوري والى الامام في المباريات,"[{""start"": 29, ""end"": 41, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""علاءالمطالقة"", ""mask_type"": ""PERSON""}]",1,approved,,
mt_msa_36edd003,train,14591,MSA,واسعدني رفض العرب لسلام شامل مع,واسعدني رفض العرب لسلام شامل مع,واسعدني رفض العرب لسلام شامل مع,[],0,approved,,
mt_dial_glf_c0c4e2ce,train,36397,DIAL_GLF,اتقوا الله فينا . الشغالة صارت ضرورة . إذا أنا وزوجي نكرف ليل نهار علشان نصرف عالعيال وين نحطهم طيب ؟ ؟ ؟ لاحضانات زي الناس والموجوة أقساطها غالية علينا ؟ ؟ ؟ هالحين راتبي كل هالسنة راح رواتب للشغاله اللي سافرت واستقدام للجديده . . . الحل يامجلس الفقر ؟ ؟,اتقوا الله فينا الشغاله صارت ضروره اذا انا وزوجي نكرف ليل نهار علشان نصرف عالعيال وين نحطهم طيب لاحضانات زي الناس والموجوه اقساطها غاليه علينا هالحين راتبي كل هالسنه راح رواتب للشغاله اللي سافرت واستقدام للجديده الحل يامجلس الفقر,اتقوا الله فينا . الشغالة صارت ضرورة . إذا أنا وزوجي نكرف ليل نهار علشان نصرف عالعيال وين نحطهم طيب ؟ ؟ ؟ لاحضانات زي الناس والموجوة أقساطها غالية علينا ؟ ؟ ؟ هالحين راتبي كل هالسنة راح رواتب للشغاله اللي سافرت واستقدام للجديده . . . الحل يامجلس الفقر ؟ ؟,[],0,approved,,
mt_dial_lev_691d3ffc,train,38812,DIAL_LEV,الله اكبر على الخطاب من جلالة سيدنا ابوحسين تحيا الاردن والقدس,الله اكبر علي الخطاب من جلاله سيدنا ابوحسين تحيا الاردن والقدس,الله اكبر على الخطاب من جلالة سيدنا [PERSON_1] تحيا [LOC_1] والقدس,"[{""start"": 36, ""end"": 43, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""ابوحسين"", ""mask_type"": ""PERSON""}, {""start"": 49, ""end"": 55, ""placeholder"": ""[LOC_1]"", ""surface_form"": ""الاردن"", ""mask_type"": ""LOC""}]",2,approved,,
mt_msa_4a6fb055,train,56323,MSA,7 - انجازات حسن شحاته بريئة منك ومن اللي معاك ؟ رد,7 انجازات حسن شحاته برييه منك ومن اللي معاك رد,[NUM_1] - انجازات [PERSON_1] بريئة منك ومن اللي معاك ؟ رد,"[{""start"": 0, ""end"": 1, ""placeholder"": ""[NUM_1]"", ""surface_form"": ""7"", ""mask_type"": ""NUM""}, {""start"": 12, ""end"": 21, ""placeholder"": ""[PERSON_1]"", ""surface_form"": ""حسن شحاته"", ""mask_type"": ""PERSON""}]",2,approved,,
mt_dial_egy_e8709e32,train,21426,DIAL_EGY,الخايب هو اللى بيشجع نادى الكوسة والفساد والاعلام وكوسة الحكام الخايب هو اللى بيشوف وميفهمش والخايب هو اللى بيسمع وميعرفش والخايب هو اللى عنده عقل ومبيفكرش بيه وتحياتى للزمالكوية انظف واعقل ناس ولا عزاء,الخايب هو اللي بيشجع نادي الكوسه والفساد والاعلام وكوسه الحكام الخايب هو اللي بيشوف وميفهمش والخايب هو اللي بيسمع وميعرفش والخايب هو اللي عنده عقل ومبيفكرش بيه وتحياتي للزمالكويه انظف واعقل ناس ولا عزاء,الخايب هو اللى بيشجع نادى الكوسة والفساد والاعلام وكوسة الحكام الخايب هو اللى بيشوف وميفهمش والخايب هو اللى بيسمع وميعرفش والخايب هو اللى عنده عقل ومبيفكرش بيه وتحياتى ل[ORG_1] انظف واعقل ناس ولا عزاء,"[{""start"": 169, ""end"": 178, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""لزمالكوية"", ""mask_type"": ""ORG""}]",1,approved,,
mt_dial_glf_bc2489e2,train,33556,DIAL_GLF,طبعا صداقة شرهات وفلوس مهب لوجه,طبعا صداقه شرهات وفلوس مهب لوجه,طبعا صداقة شرهات وفلوس مهب لوجه,[],0,approved,,
mt_dial_lev_2f052757,train,2382,DIAL_LEV,انا موظف بوزارة الصحه وكل يوم بشوف 100 مخالف . . . لا حسيب ولا رقيب . . . وواحد من ضباط الارتباط يشرب الارجيله بالاماكن العامه و عندي,انا موظف بوزاره الصحه وكل يوم بشوف 100 مخالف لا حسيب ولا رقيب وواحد من ضباط الارتباط يشرب الارجيله بالاماكن العامه و عندي,انا موظف ب[ORG_1] وكل يوم بشوف [NUM_1] مخالف . . . لا حسيب ولا رقيب . . . وواحد من ضباط الارتباط يشرب الارجيله بالاماكن العامه و عندي,"[{""start"": 10, ""end"": 21, ""placeholder"": ""[ORG_1]"", ""surface_form"": ""وزارة الصحه"", ""mask_type"": ""ORG""}, {""start"": 35, ""end"": 38, ""placeholder"": ""[NUM_1]"", ""surface_form"": ""100"", ""mask_type"": ""NUM""}]",2,approved,,
