example_id,source_split,source_row_id,dialect,original_text,normalized_text,masked_text,mask_spans_json,mask_count,annotation_status,annotator_model,notes
mt_dial_egy_f4753ed3,train,976,DIAL_EGY,بدون زعل الموقف حرج جدا المحلة تحتاج لمعجزة للبقاء لانها اضاعت اسهل الفرص للبقاء و اللعيبة مش رجالة و ادارة تعبانة و فريق لا يستطيع ان يكسب ربنا,بدون زعل الموقف حرج جدا المحله تحتاج لمعجزه للبقاء لانها اضاعت اسهل الفرص للبقاء و اللعيبه مش رجاله و اداره تعبانه و فريق لا يستطيع ان يكسب ربنا,,[],0,pending,,
mt_dial_glf_67769e98,train,73534,DIAL_GLF,إذا كانت حرب بين مرور الرياض والادارة العامة ، وش دخلنا كمواطنين نسمع تصاريحهم واحصائياتهم ، مفروض يحلون مشاكلهم,اذا كانت حرب بين مرور الرياض والاداره العامه وش دخلنا كمواطنين نسمع تصاريحهم واحصايياتهم مفروض يحلون مشاكلهم,,[],0,pending,,
mt_dial_lev_62a89c0d,train,63609,DIAL_LEV,شوف التجار بدهم حمايه بس ليش ياتري ؟ ؟ ؟ و ببكوا من سوء الاوضاع ! ! ! و لما تيجيهم الفرصه و الدعم . . . شوفوا النتيجه . .,شوف التجار بدهم حمايه بس ليش ياتري و ببكوا من سوء الاوضاع و لما تيجيهم الفرصه و الدعم شوفوا النتيجه,,[],0,pending,,
mt_msa_5f5e237c,train,48789,MSA,اما الفواتير الغير صحيحة علي الهاتف الثابت والجوال فحسبنا الله ونعم,اما الفواتير الغير صحيحه علي الهاتف الثابت والجوال فحسبنا الله ونعم,,[],0,pending,,
mt_dial_egy_e6b01cde,train,55868,DIAL_EGY,يعني مش قرار عشوائي . . . حلمت به ليلا فاصدرت قرار في الصباح . .,يعني مش قرار عشوايي حلمت به ليلا فاصدرت قرار في الصباح,,[],0,pending,,
mt_dial_glf_f36beccf,train,1156,DIAL_GLF,المباراة تهمك أكثر من نادي الهلال,المباراه تهمك اكثر من نادي الهلال,,[],0,pending,,
mt_dial_lev_9218f3c6,train,75498,DIAL_LEV,"الوحدات قادم بقوة وبعون الله سيكون الموسم اخضر بالكامل . . بس ياخوفي "" تنحرق الطبخة "" مع كثرة صفقات "" الطباخين "" اللي وقعها الوحدات واللي ناوي يوقعها",الوحدات قادم بقوه وبعون الله سيكون الموسم اخضر بالكامل بس ياخوفي تنحرق الطبخه مع كثره صفقات الطباخين اللي وقعها الوحدات واللي ناوي يوقعها,,[],0,pending,,
mt_msa_2581a2e1,train,83106,MSA,هل نجن افضل من الامريكان او الكنديين . . . او الفرنسيين ؟ ؟,هل نجن افضل من الامريكان او الكنديين او الفرنسيين,,[],0,pending,,
mt_dial_egy_c94361ea,train,22768,DIAL_EGY,اللى حالهم زى حالنا الفرق ان هناك فى,اللي حالهم زي حالنا الفرق ان هناك في,,[],0,pending,,
mt_dial_glf_51b67961,train,56731,DIAL_GLF,فيه أشاعه قويه . . بنت روق . . غيابها من اجل . .,فيه اشاعه قويه بنت روق غيابها من اجل,,[],0,pending,,
mt_dial_lev_98b619ff,train,73780,DIAL_LEV,من يوقفهم اقصد مجلس البث الفرنسي و كلنا نعرف من وراءهم ! لقد إبتدوا بقناة الرحمة . . . ولن ينتهوا . . والحبل ع الجرار ! والآن دور الأقصى ! لماذا لا يوقفوا القنوات التي تبث أحيانا افلاما إباحية بمعنى الكلمة . . . أو ميلودي أو هذا الكم الهائل من قنوات الرغي والإباحية المقنعة,من يوقفهم اقصد مجلس البث الفرنسي و كلنا نعرف من وراءهم لقد ابتدوا بقناه الرحمه ولن ينتهوا والحبل ع الجرار والان دور الاقصي لماذا لا يوقفوا القنوات التي تبث احيانا افلاما اباحيه بمعني الكلمه او ميلودي او هذا الكم الهايل من قنوات الرغي والاباحيه المقنعه,,[],0,pending,,
mt_msa_c24cd111,train,75682,MSA,الحمدالله على تطور الكرة الاردنية وظهور المنافسة بشكل جدي بين,الحمدالله علي تطور الكره الاردنيه وظهور المنافسه بشكل جدي بين,,[],0,pending,,
mt_dial_egy_d89c7c58,train,67369,DIAL_EGY,هو الواح وخاطيبته او غيرها لعدم وجود اكراه,هو الواح وخاطيبته او غيرها لعدم وجود اكراه,,[],0,pending,,
mt_dial_glf_65106250,train,19481,DIAL_GLF,طيب هذا النظام يستهدف الشباب فقط ؟,طيب هذا النظام يستهدف الشباب فقط,,[],0,pending,,
